SECT,Sector,CLAS,Classification,COU,Country,YEA,Year,EEA_STRI,Flag Codes,Flags
LSCAR,Logistics cargo-handling,STRI,Indicator STRI,AUT,Austria,2014,2014,0.076534837,,
LSCAR,Logistics cargo-handling,STRI,Indicator STRI,AUT,Austria,2015,2015,0.076534837,,
LSCAR,Logistics cargo-handling,STRI,Indicator STRI,AUT,Austria,2016,2016,0.076534837,,
LSCAR,Logistics cargo-handling,STRI,Indicator STRI,AUT,Austria,2017,2017,0.076534837,,
LSCAR,Logistics cargo-handling,STRI,Indicator STRI,AUT,Austria,2018,2018,0.076534837,,
LSSTG,Logistics storage and warehouse,STRI,Indicator STRI,AUT,Austria,2014,2014,0.118506953,,
LSSTG,Logistics storage and warehouse,STRI,Indicator STRI,AUT,Austria,2015,2015,0.118506953,,
LSSTG,Logistics storage and warehouse,STRI,Indicator STRI,AUT,Austria,2016,2016,0.118506953,,
LSSTG,Logistics storage and warehouse,STRI,Indicator STRI,AUT,Austria,2017,2017,0.118506953,,
LSSTG,Logistics storage and warehouse,STRI,Indicator STRI,AUT,Austria,2018,2018,0.118506953,,
LSFGT,Logistics freight forwarding,STRI,Indicator STRI,AUT,Austria,2014,2014,0.092166737,,
LSFGT,Logistics freight forwarding,STRI,Indicator STRI,AUT,Austria,2015,2015,0.092166737,,
LSFGT,Logistics freight forwarding,STRI,Indicator STRI,AUT,Austria,2016,2016,0.092166737,,
LSFGT,Logistics freight forwarding,STRI,Indicator STRI,AUT,Austria,2017,2017,0.092166737,,
LSFGT,Logistics freight forwarding,STRI,Indicator STRI,AUT,Austria,2018,2018,0.092166737,,
LSCUS,Logistics customs brokerage,STRI,Indicator STRI,AUT,Austria,2014,2014,0.074667908,,
LSCUS,Logistics customs brokerage,STRI,Indicator STRI,AUT,Austria,2015,2015,0.074667908,,
LSCUS,Logistics customs brokerage,STRI,Indicator STRI,AUT,Austria,2016,2016,0.074667908,,
LSCUS,Logistics customs brokerage,STRI,Indicator STRI,AUT,Austria,2017,2017,0.074667908,,
LSCUS,Logistics customs brokerage,STRI,Indicator STRI,AUT,Austria,2018,2018,0.074667908,,
PSACC,Accounting,STRI,Indicator STRI,AUT,Austria,2014,2014,0.127781466,,
PSACC,Accounting,STRI,Indicator STRI,AUT,Austria,2015,2015,0.127781466,,
PSACC,Accounting,STRI,Indicator STRI,AUT,Austria,2016,2016,0.127781466,,
PSACC,Accounting,STRI,Indicator STRI,AUT,Austria,2017,2017,0.127781466,,
PSACC,Accounting,STRI,Indicator STRI,AUT,Austria,2018,2018,0.127781466,,
PSARC,Architecture,STRI,Indicator STRI,AUT,Austria,2014,2014,0.134208977,,
PSARC,Architecture,STRI,Indicator STRI,AUT,Austria,2015,2015,0.134208977,,
PSARC,Architecture,STRI,Indicator STRI,AUT,Austria,2016,2016,0.134208977,,
PSARC,Architecture,STRI,Indicator STRI,AUT,Austria,2017,2017,0.134208977,,
PSARC,Architecture,STRI,Indicator STRI,AUT,Austria,2018,2018,0.134208977,,
PSENG,Engineering,STRI,Indicator STRI,AUT,Austria,2014,2014,0.111984149,,
PSENG,Engineering,STRI,Indicator STRI,AUT,Austria,2015,2015,0.111984149,,
PSENG,Engineering,STRI,Indicator STRI,AUT,Austria,2016,2016,0.111984149,,
PSENG,Engineering,STRI,Indicator STRI,AUT,Austria,2017,2017,0.111984149,,
PSENG,Engineering,STRI,Indicator STRI,AUT,Austria,2018,2018,0.111984149,,
PSLEG,Legal,STRI,Indicator STRI,AUT,Austria,2014,2014,0.084965587,,
PSLEG,Legal,STRI,Indicator STRI,AUT,Austria,2015,2015,0.084965587,,
PSLEG,Legal,STRI,Indicator STRI,AUT,Austria,2016,2016,0.084965587,,
PSLEG,Legal,STRI,Indicator STRI,AUT,Austria,2017,2017,0.084965587,,
PSLEG,Legal,STRI,Indicator STRI,AUT,Austria,2018,2018,0.084965587,,
ASMOT,Motion pictures,STRI,Indicator STRI,AUT,Austria,2014,2014,0.055958129,,
ASMOT,Motion pictures,STRI,Indicator STRI,AUT,Austria,2015,2015,0.055958129,,
ASMOT,Motion pictures,STRI,Indicator STRI,AUT,Austria,2016,2016,0.055958129,,
ASMOT,Motion pictures,STRI,Indicator STRI,AUT,Austria,2017,2017,0.055958129,,
ASMOT,Motion pictures,STRI,Indicator STRI,AUT,Austria,2018,2018,0.055958129,,
ASBRD,Broadcasting,STRI,Indicator STRI,AUT,Austria,2014,2014,0.090398051,,
ASBRD,Broadcasting,STRI,Indicator STRI,AUT,Austria,2015,2015,0.090398051,,
ASBRD,Broadcasting,STRI,Indicator STRI,AUT,Austria,2016,2016,0.090398051,,
ASBRD,Broadcasting,STRI,Indicator STRI,AUT,Austria,2017,2017,0.090398051,,
ASBRD,Broadcasting,STRI,Indicator STRI,AUT,Austria,2018,2018,0.090398051,,
ASSOU,Sound recording,STRI,Indicator STRI,AUT,Austria,2014,2014,0.088099934,,
ASSOU,Sound recording,STRI,Indicator STRI,AUT,Austria,2015,2015,0.088099934,,
