	(1)	(2)	(3)	(4)	(5)	(6)	(7)	(8)	(9)	(10)	(11)	(12)	(13)	(14)	(15)	(16)	(17)	(18)	(19)	(20)	(21)	(22)	(23)	(24)	(25)	(26)	(27)	(28)	(29)	(30)	(31)	(32)	(33)	(34)	(35)	(36)	(37)	(38)	(39)	(40)	(41)	(42)	(43)	(44)	(45)	(46)	(47)	(48)	(49)	(50)	(51)	(52)	(53)	(54)	(55)	(56)	(57)	(58)	(59)	(60)	(61)	(62)	(63)	(64)	(65)	(66)	(67)	(68)	(69)	(70)	(71)	(72)	(73)	(74)	(75)	(76)	(77)	(78)	(79)	(80)	(81)	(82)	(83)	(84)	(85)	(86)	(87)	(88)	(89)	(90)	(91)	(92)	(93)	(94)	(95)	(96)	(97)	(98)	(99)	(100)	(101)	(102)	(103)	(104)	(105)	(106)	(107)	(108)	(109)	(110)	(111)	(112)	(113)	(114)	(115)	(116)	(117)	(118)	(119)	(120)	(121)	(122)	(123)	(124)	(125)	(126)
	Sample: trade_value_ols_eu_q1_q8	Sample: trade_value_ols_eu_q1_q12	Sample: trade_value_eu_q1_q8	Sample: trade_value_eu_q1_q12	Sample: trade_imp_eu_q1_q8	Sample: trade_imp_eu_q1_q12	Sample: trade_value_ols_eu_q1_q8	Sample: trade_value_ols_eu_q1_q12	Sample: trade_value_eu_q1_q8	Sample: trade_value_eu_q1_q12	Sample: trade_imp_eu_q1_q8	Sample: trade_imp_eu_q1_q12	Sample: trade_value_ols_eu_q1_q8	Sample: trade_value_ols_eu_q1_q12	Sample: trade_value_eu_q1_q8	Sample: trade_value_eu_q1_q12	Sample: trade_imp_eu_q1_q8	Sample: trade_imp_eu_q1_q12	Sample: trade_value_ols_eu_q1_q8	Sample: trade_value_ols_eu_q1_q12	Sample: trade_value_eu_q1_q8	Sample: trade_value_eu_q1_q12	Sample: trade_imp_eu_q1_q8	Sample: trade_imp_eu_q1_q12	Sample: trade_value_ols_eu_q1_q8	Sample: trade_value_ols_eu_q1_q12	Sample: trade_value_eu_q1_q8	Sample: trade_value_eu_q1_q12	Sample: trade_imp_eu_q1_q8	Sample: trade_imp_eu_q1_q12	Sample: trade_value_ols_eu_q1_q8	Sample: trade_value_ols_eu_q1_q12	Sample: trade_value_eu_q1_q8	Sample: trade_value_eu_q1_q12	Sample: trade_imp_eu_q1_q8	Sample: trade_imp_eu_q1_q12	Sample: trade_value_ols_eu_q1_q8	Sample: trade_value_ols_eu_q1_q12	Sample: trade_value_eu_q1_q8	Sample: trade_value_eu_q1_q12	Sample: trade_imp_eu_q1_q8	Sample: trade_imp_eu_q1_q12	Sample: trade_value_ols_eu_q1_q8	Sample: trade_value_ols_eu_q1_q12	Sample: trade_value_eu_q1_q8	Sample: trade_value_eu_q1_q12	Sample: trade_imp_eu_q1_q8	Sample: trade_imp_eu_q1_q12	Sample: trade_value_ols_eu_q1_q8	Sample: trade_value_ols_eu_q1_q12	Sample: trade_value_eu_q1_q8	Sample: trade_value_eu_q1_q12	Sample: trade_imp_eu_q1_q8	Sample: trade_imp_eu_q1_q12	Sample: trade_value_ols_eu_q1_q8	Sample: trade_value_ols_eu_q1_q12	Sample: trade_value_eu_q1_q8	Sample: trade_value_eu_q1_q12	Sample: trade_imp_eu_q1_q8	Sample: trade_imp_eu_q1_q12	Sample: trade_value_ols_eu_q1_q8	Sample: trade_value_ols_eu_q1_q12	Sample: trade_value_eu_q1_q8	Sample: trade_value_eu_q1_q12	Sample: trade_imp_eu_q1_q8	Sample: trade_imp_eu_q1_q12	Sample: trade_value_ols_eu_q1_q8	Sample: trade_value_ols_eu_q1_q12	Sample: trade_value_eu_q1_q8	Sample: trade_value_eu_q1_q12	Sample: trade_imp_eu_q1_q8	Sample: trade_imp_eu_q1_q12	Sample: trade_value_ols_eu_q1_q8	Sample: trade_value_ols_eu_q1_q12	Sample: trade_value_eu_q1_q8	Sample: trade_value_eu_q1_q12	Sample: trade_imp_eu_q1_q8	Sample: trade_imp_eu_q1_q12	Sample: trade_value_ols_eu_q1_q8	Sample: trade_value_ols_eu_q1_q12	Sample: trade_value_eu_q1_q8	Sample: trade_value_eu_q1_q12	Sample: trade_imp_eu_q1_q8	Sample: trade_imp_eu_q1_q12	Sample: trade_value_ols_eu_q1_q8	Sample: trade_value_ols_eu_q1_q12	Sample: trade_value_eu_q1_q8	Sample: trade_value_eu_q1_q12	Sample: trade_imp_eu_q1_q8	Sample: trade_imp_eu_q1_q12	Sample: trade_value_ols_eu_q1_q8	Sample: trade_value_ols_eu_q1_q12	Sample: trade_value_eu_q1_q8	Sample: trade_value_eu_q1_q12	Sample: trade_imp_eu_q1_q8	Sample: trade_imp_eu_q1_q12	Sample: trade_value_ols_eu_q1_q8	Sample: trade_value_ols_eu_q1_q12	Sample: trade_value_eu_q1_q8	Sample: trade_value_eu_q1_q12	Sample: trade_imp_eu_q1_q8	Sample: trade_imp_eu_q1_q12	Sample: trade_value_ols_eu_q1_q8	Sample: trade_value_ols_eu_q1_q12	Sample: trade_value_eu_q1_q8	Sample: trade_value_eu_q1_q12	Sample: trade_imp_eu_q1_q8	Sample: trade_imp_eu_q1_q12	Sample: trade_value_ols_eu_q1_q8	Sample: trade_value_ols_eu_q1_q12	Sample: trade_value_eu_q1_q8	Sample: trade_value_eu_q1_q12	Sample: trade_imp_eu_q1_q8	Sample: trade_imp_eu_q1_q12	Sample: trade_value_ols_eu_q1_q8	Sample: trade_value_ols_eu_q1_q12	Sample: trade_value_eu_q1_q8	Sample: trade_value_eu_q1_q12	Sample: trade_imp_eu_q1_q8	Sample: trade_imp_eu_q1_q12	Sample: trade_value_ols_eu_q1_q8	Sample: trade_value_ols_eu_q1_q12	Sample: trade_value_eu_q1_q8	Sample: trade_value_eu_q1_q12	Sample: trade_imp_eu_q1_q8	Sample: trade_imp_eu_q1_q12
	SE: cluster J#S#quarter	SE: cluster J#S#quarter	SE: cluster J#S#quarter	SE: cluster J#S#quarter	SE: cluster J#S#quarter	SE: cluster J#S#quarter	SE: cluster J#S#quarter	SE: cluster J#S#quarter	SE: cluster J#S#quarter	SE: cluster J#S#quarter	SE: cluster J#S#quarter	SE: cluster J#S#quarter	SE: cluster J#S#quarter	SE: cluster J#S#quarter	SE: cluster J#S#quarter	SE: cluster J#S#quarter	SE: cluster J#S#quarter	SE: cluster J#S#quarter	SE: cluster J#S#quarter	SE: cluster J#S#quarter	SE: cluster J#S#quarter	SE: cluster J#S#quarter	SE: cluster J#S#quarter	SE: cluster J#S#quarter	SE: cluster J#S#quarter	SE: cluster J#S#quarter	SE: cluster J#S#quarter	SE: cluster J#S#quarter	SE: cluster J#S#quarter	SE: cluster J#S#quarter	SE: cluster J#S#quarter	SE: cluster J#S#quarter	SE: cluster J#S#quarter	SE: cluster J#S#quarter	SE: cluster J#S#quarter	SE: cluster J#S#quarter	SE: cluster J#S#quarter	SE: cluster J#S#quarter	SE: cluster J#S#quarter	SE: cluster J#S#quarter	SE: cluster J#S#quarter	SE: cluster J#S#quarter	SE: cluster J#S#quarter	SE: cluster J#S#quarter	SE: cluster J#S#quarter	SE: cluster J#S#quarter	SE: cluster J#S#quarter	SE: cluster J#S#quarter	SE: cluster J#S#quarter	SE: cluster J#S#quarter	SE: cluster J#S#quarter	SE: cluster J#S#quarter	SE: cluster J#S#quarter	SE: cluster J#S#quarter	SE: cluster J#S#quarter	SE: cluster J#S#quarter	SE: cluster J#S#quarter	SE: cluster J#S#quarter	SE: cluster J#S#quarter	SE: cluster J#S#quarter	SE: cluster J#S#quarter	SE: cluster J#S#quarter	SE: cluster J#S#quarter	SE: cluster J#S#quarter	SE: cluster J#S#quarter	SE: cluster J#S#quarter	SE: cluster J#S#quarter	SE: cluster J#S#quarter	SE: cluster J#S#quarter	SE: cluster J#S#quarter	SE: cluster J#S#quarter	SE: cluster J#S#quarter	SE: cluster J#S#quarter	SE: cluster J#S#quarter	SE: cluster J#S#quarter	SE: cluster J#S#quarter	SE: cluster J#S#quarter	SE: cluster J#S#quarter	SE: cluster J#S#quarter	SE: cluster J#S#quarter	SE: cluster J#S#quarter	SE: cluster J#S#quarter	SE: cluster J#S#quarter	SE: cluster J#S#quarter	SE: cluster J#S#quarter	SE: cluster J#S#quarter	SE: cluster J#S#quarter	SE: cluster J#S#quarter	SE: cluster J#S#quarter	SE: cluster J#S#quarter	SE: cluster J#S#quarter	SE: cluster J#S#quarter	SE: cluster J#S#quarter	SE: cluster J#S#quarter	SE: cluster J#S#quarter	SE: cluster J#S#quarter	SE: cluster J#S#quarter	SE: cluster J#S#quarter	SE: cluster J#S#quarter	SE: cluster J#S#quarter	SE: cluster J#S#quarter	SE: cluster J#S#quarter	SE: cluster J#S#quarter	SE: cluster J#S#quarter	SE: cluster J#S#quarter	SE: cluster J#S#quarter	SE: cluster J#S#quarter	SE: cluster J#S#quarter	SE: cluster J#S#quarter	SE: cluster J#S#quarter	SE: cluster J#S#quarter	SE: cluster J#S#quarter	SE: cluster J#S#quarter	SE: cluster J#S#quarter	SE: cluster J#S#quarter	SE: cluster J#S#quarter	SE: cluster J#S#quarter	SE: cluster J#S#quarter	SE: cluster J#S#quarter	SE: cluster J#S#quarter	SE: cluster J#S#quarter	SE: cluster J#S#quarter	SE: cluster J#S#quarter	SE: cluster J#S#quarter	SE: cluster J#S#quarter	SE: cluster J#S#quarter
VARIABLES	FE:J#I#quarter J#I#S	FE:J#I#quarter J#I#S	FE:J#I#quarter J#I#S	FE:J#I#quarter J#I#S	FE:J#I#quarter J#I#S	FE:J#I#quarter J#I#S	FE:J#I#quarter J#I#S	FE:J#I#quarter J#I#S	FE:J#I#quarter J#I#S	FE:J#I#quarter J#I#S	FE:J#I#quarter J#I#S	FE:J#I#quarter J#I#S	FE:J#I#quarter J#I#S	FE:J#I#quarter J#I#S	FE:J#I#quarter J#I#S	FE:J#I#quarter J#I#S	FE:J#I#quarter J#I#S	FE:J#I#quarter J#I#S	FE:J#I#quarter J#I#S	FE:J#I#quarter J#I#S	FE:J#I#quarter J#I#S	FE:J#I#quarter J#I#S	FE:J#I#quarter J#I#S	FE:J#I#quarter J#I#S	FE:J#I#quarter J#I#S	FE:J#I#quarter J#I#S	FE:J#I#quarter J#I#S	FE:J#I#quarter J#I#S	FE:J#I#quarter J#I#S	FE:J#I#quarter J#I#S	FE:J#I#quarter J#I#S	FE:J#I#quarter J#I#S	FE:J#I#quarter J#I#S	FE:J#I#quarter J#I#S	FE:J#I#quarter J#I#S	FE:J#I#quarter J#I#S	FE:J#I#quarter J#I#S	FE:J#I#quarter J#I#S	FE:J#I#quarter J#I#S	FE:J#I#quarter J#I#S	FE:J#I#quarter J#I#S	FE:J#I#quarter J#I#S	FE:J#I#quarter J#I#S	FE:J#I#quarter J#I#S	FE:J#I#quarter J#I#S	FE:J#I#quarter J#I#S	FE:J#I#quarter J#I#S	FE:J#I#quarter J#I#S	FE:J#I#quarter J#I#S	FE:J#I#quarter J#I#S	FE:J#I#quarter J#I#S	FE:J#I#quarter J#I#S	FE:J#I#quarter J#I#S	FE:J#I#quarter J#I#S	FE:J#I#quarter J#I#S	FE:J#I#quarter J#I#S	FE:J#I#quarter J#I#S	FE:J#I#quarter J#I#S	FE:J#I#quarter J#I#S	FE:J#I#quarter J#I#S	FE:J#I#quarter J#I#S	FE:J#I#quarter J#I#S	FE:J#I#quarter J#I#S	FE:J#I#quarter J#I#S	FE:J#I#quarter J#I#S	FE:J#I#quarter J#I#S	FE:J#I#quarter J#I#S	FE:J#I#quarter J#I#S	FE:J#I#quarter J#I#S	FE:J#I#quarter J#I#S	FE:J#I#quarter J#I#S	FE:J#I#quarter J#I#S	FE:J#I#quarter J#I#S	FE:J#I#quarter J#I#S	FE:J#I#quarter J#I#S	FE:J#I#quarter J#I#S	FE:J#I#quarter J#I#S	FE:J#I#quarter J#I#S	FE:J#I#quarter J#I#S	FE:J#I#quarter J#I#S	FE:J#I#quarter J#I#S	FE:J#I#quarter J#I#S	FE:J#I#quarter J#I#S	FE:J#I#quarter J#I#S	FE:J#I#quarter J#I#S	FE:J#I#quarter J#I#S	FE:J#I#quarter J#I#S	FE:J#I#quarter J#I#S	FE:J#I#quarter J#I#S	FE:J#I#quarter J#I#S	FE:J#I#quarter J#I#S	FE:J#I#quarter J#I#S	FE:J#I#quarter J#I#S	FE:J#I#quarter J#I#S	FE:J#I#quarter J#I#S	FE:J#I#quarter J#I#S	FE:J#I#quarter J#I#S	FE:J#I#quarter J#I#S	FE:J#I#quarter J#I#S	FE:J#I#quarter J#I#S	FE:J#I#quarter J#I#S	FE:J#I#quarter J#I#S	FE:J#I#quarter J#I#S	FE:J#I#quarter J#I#S	FE:J#I#quarter J#I#S	FE:J#I#quarter J#I#S	FE:J#I#quarter J#I#S	FE:J#I#quarter J#I#S	FE:J#I#quarter J#I#S	FE:J#I#quarter J#I#S	FE:J#I#quarter J#I#S	FE:J#I#quarter J#I#S	FE:J#I#quarter J#I#S	FE:J#I#quarter J#I#S	FE:J#I#quarter J#I#S	FE:J#I#quarter J#I#S	FE:J#I#quarter J#I#S	FE:J#I#quarter J#I#S	FE:J#I#quarter J#I#S	FE:J#I#quarter J#I#S	FE:J#I#quarter J#I#S	FE:J#I#quarter J#I#S	FE:J#I#quarter J#I#S	FE:J#I#quarter J#I#S	FE:J#I#quarter J#I#S	FE:J#I#quarter J#I#S
																																																																																																																														
ln_mfn_risk_c1_x_me	-0.767**	-1.130***	-0.610***	-0.875***	-0.563***	-1.240***	-0.767**	-1.130***	-0.610***	-0.875***	-0.563***	-1.240***	-0.767**	-1.130***	-0.610***	-0.875***	-0.563***	-1.240***	-0.767**	-1.130***	-0.610***	-0.875***	-0.563***	-1.240***	-0.767**	-1.130***	-0.610***	-0.875***	-0.563***	-1.240***	-0.767**	-1.130***	-0.610***	-0.875***	-0.563***	-1.240***	-0.767**	-1.130***	-0.610***	-0.875***	-0.563***	-1.240***	-0.767**	-1.130***	-0.610***	-0.875***	-0.563***	-1.240***	-0.767**	-1.130***	-0.610***	-0.875***	-0.563***	-1.240***	-0.767**	-1.130***	-0.610***	-0.875***	-0.563***	-1.240***	-0.767**	-1.130***	-0.610***	-0.875***	-0.563***	-1.240***	-0.767**	-1.130***	-0.610***	-0.875***	-0.563***	-1.240***	-0.767**	-1.130***	-0.610***	-0.875***	-0.563***	-1.240***	-0.767**	-1.130***	-0.610***	-0.875***	-0.563***	-1.240***	-0.767**	-1.130***	-0.610***	-0.875***	-0.563***	-1.240***	-0.767**	-1.130***	-0.610***	-0.875***	-0.563***	-1.240***	-0.767**	-1.130***	-0.610***	-0.875***	-0.563***	-1.240***	-0.767**	-1.130***	-0.610***	-0.875***	-0.563***	-1.240***	-0.767**	-1.130***	-0.610***	-0.875***	-0.563***	-1.240***	-0.767**	-1.130***	-0.610***	-0.875***	-0.563***	-1.240***	-0.767**	-1.130***	-0.610***	-0.875***	-0.563***	-1.240***
	(0.327)	(0.426)	(0.213)	(0.286)	(0.213)	(0.333)	(0.327)	(0.426)	(0.213)	(0.286)	(0.213)	(0.333)	(0.327)	(0.426)	(0.213)	(0.286)	(0.213)	(0.333)	(0.327)	(0.426)	(0.213)	(0.286)	(0.213)	(0.333)	(0.327)	(0.426)	(0.213)	(0.286)	(0.213)	(0.333)	(0.327)	(0.426)	(0.213)	(0.286)	(0.213)	(0.333)	(0.327)	(0.426)	(0.213)	(0.286)	(0.213)	(0.333)	(0.327)	(0.426)	(0.213)	(0.286)	(0.213)	(0.333)	(0.327)	(0.426)	(0.213)	(0.286)	(0.213)	(0.333)	(0.327)	(0.426)	(0.213)	(0.286)	(0.213)	(0.333)	(0.327)	(0.426)	(0.213)	(0.286)	(0.213)	(0.333)	(0.327)	(0.426)	(0.213)	(0.286)	(0.213)	(0.333)	(0.327)	(0.426)	(0.213)	(0.286)	(0.213)	(0.333)	(0.327)	(0.426)	(0.213)	(0.286)	(0.213)	(0.333)	(0.327)	(0.426)	(0.213)	(0.286)	(0.213)	(0.333)	(0.327)	(0.426)	(0.213)	(0.286)	(0.213)	(0.333)	(0.327)	(0.426)	(0.213)	(0.286)	(0.213)	(0.333)	(0.327)	(0.426)	(0.213)	(0.286)	(0.213)	(0.333)	(0.327)	(0.426)	(0.213)	(0.286)	(0.213)	(0.333)	(0.327)	(0.426)	(0.213)	(0.286)	(0.213)	(0.333)	(0.327)	(0.426)	(0.213)	(0.286)	(0.213)	(0.333)
																																																																																																																														
Observations	1,744	2,616	2,869	4,466	3,216	4,980	1,744	2,616	2,869	4,466	3,216	4,980	1,744	2,616	2,869	4,466	3,216	4,980	1,744	2,616	2,869	4,466	3,216	4,980	1,744	2,616	2,869	4,466	3,216	4,980	1,744	2,616	2,869	4,466	3,216	4,980	1,744	2,616	2,869	4,466	3,216	4,980	1,744	2,616	2,869	4,466	3,216	4,980	1,744	2,616	2,869	4,466	3,216	4,980	1,744	2,616	2,869	4,466	3,216	4,980	1,744	2,616	2,869	4,466	3,216	4,980	1,744	2,616	2,869	4,466	3,216	4,980	1,744	2,616	2,869	4,466	3,216	4,980	1,744	2,616	2,869	4,466	3,216	4,980	1,744	2,616	2,869	4,466	3,216	4,980	1,744	2,616	2,869	4,466	3,216	4,980	1,744	2,616	2,869	4,466	3,216	4,980	1,744	2,616	2,869	4,466	3,216	4,980	1,744	2,616	2,869	4,466	3,216	4,980	1,744	2,616	2,869	4,466	3,216	4,980	1,744	2,616	2,869	4,466	3,216	4,980
R2	0.943	0.937	0.945	0.942	0.943	0.938	0.943	0.937	0.945	0.942	0.943	0.938	0.943	0.937	0.945	0.942	0.943	0.938	0.943	0.937	0.945	0.942	0.943	0.938	0.943	0.937	0.945	0.942	0.943	0.938	0.943	0.937	0.945	0.942	0.943	0.938	0.943	0.937	0.945	0.942	0.943	0.938	0.943	0.937	0.945	0.942	0.943	0.938	0.943	0.937	0.945	0.942	0.943	0.938	0.943	0.937	0.945	0.942	0.943	0.938	0.943	0.937	0.945	0.942	0.943	0.938	0.943	0.937	0.945	0.942	0.943	0.938	0.943	0.937	0.945	0.942	0.943	0.938	0.943	0.937	0.945	0.942	0.943	0.938	0.943	0.937	0.945	0.942	0.943	0.938	0.943	0.937	0.945	0.942	0.943	0.938	0.943	0.937	0.945	0.942	0.943	0.938	0.943	0.937	0.945	0.942	0.943	0.938	0.943	0.937	0.945	0.942	0.943	0.938	0.943	0.937	0.945	0.942	0.943	0.938	0.943	0.937	0.945	0.942	0.943	0.938
Robust standard errors in parentheses																																																																																																																														
